Country,Province,Latitude (generated),Longitude (generated),Total Cases
Indonesia,Sumatera Utara,2.2666,99.2632,36645
Indonesia,Sumatera Selatan,-3.2787,104.2856,62385
Indonesia,Sumatera Barat,-0.7839,100.878,33571
Indonesia,Sulawesi Utara,1.0217,124.6105,25865
Indonesia,Sulawesi Tenggara,-3.8409,121.8744,14522
Indonesia,Sulawesi Tengah,-0.9629,122.3906,8664
Indonesia,Sulawesi Selatan,-3.7965,119.9485,131842
Indonesia,Sulawesi Barat,-2.21,119.4106,5594
Indonesia,Riau,0.7045,101.5788,7933
Indonesia,Papua Barat,-2.2766,134.0471,9388
Indonesia,Papua,-5.3106,139.4134,53004
Indonesia,Nusa Tenggara Timur,-8.5103,120.5974,4632
Indonesia,Nusa Tenggara Barat,-8.5953,117.2712,42766
Indonesia,Maluku Utara,0.6539,127.9319,13962
Indonesia,Maluku,-3.3243,130.2245,17398
Indonesia,Lampung,-4.8343,105.1183,8205
Indonesia,Kepulauan Riau,3.9307,108.1899,12465
Indonesia,Kepulauan Bangka Belitung,-2.3082,106.029,4922
Indonesia,Kalimantan Utara,2.7253,116.4505,11153
Indonesia,Kalimantan Timur,0.0978,116.1289,20781
Indonesia,Kalimantan Tengah,-1.3755,113.449,28299
Indonesia,Kalimantan Selatan,-2.7387,115.5414,76800
Indonesia,Kalimantan Barat,-0.4802,111.106,12510
Indonesia,Jawa Timur,-7.7688,112.2786,331587
Indonesia,Jawa Tengah,-7.3085,109.8546,112254
Indonesia,Jawa Barat,-6.869,107.6118,151762
Indonesia,Jambi,-1.7595,102.5492,5711
Indonesia,Gorontalo,0.6726,122.2563,6832
Indonesia,DKI Jakarta,-6.2313,106.8459,484015
Indonesia,Daerah Istimewa Yogyakarta,,,14189
Indonesia,Bengkulu,-3.6032,102.4738,4818
Indonesia,Banten,-6.4377,106.1342,59638
Indonesia,Bali,-8.4555,115.2714,39435
Indonesia,Aceh,3.9124,97.1252,1895
